"Now Shopping by","Comprar por"
"You duplicated the block.","Você duplicou o bloco."
"The page has been deleted.","A página foi excluída."
"We can't find a page to delete.","Não é possível encontrar uma página para excluir."
"This page no longer exists.","Esta página não existe mais."
"Edit Page","Editar Página"
"New Page","Nova Página"
"Pages","Páginas"
"Something went wrong while saving the page.","Algo deu errado ao salvar a página."
"A total of %1 record(s) have been disabled.","Um total de %1 registro(s) foram desativados."
"A total of %1 record(s) have been enabled.","Um total de %1 registro(s) foi habilitados."
"Page Title","Título da Página"
"To apply changes you should fill in hidden required ""%1"" field","Para aplicar as alterações, que você deve preencher no campo obrigatório oculto ""%1"""
"You saved the page.","Você gravou a página."
"You duplicated the page.","Você duplicou a página."
"Wrong request.","Solicitação incorreta."
"Directory %1 is not under storage root path.","Diretório %1 não está no caminho raiz de armazenamento."
"Can't create %1 as subdirectory of %2, you might have some permission issue.","Não é possível criar %1 como subdiretório de %2, você pode ter alguma questão de permissão."
"Make sure that static block content does not reference the block itself.","Certifique-se de que o conteúdo do bloco estático não faz referência a ele mesmo."
"Content field contains restricted HTML elements. %1","O campo de conteúdo contém elementos HTML restritos. %1"
"The CMS block with the ""%1"" ID doesn't exist.","O bloco CMS com o ""%1"" ID não existe."
"Enabled by Default","Habilitado por padrão"
"Disabled by Default","Desativado por padrão"
"Disabled Completely","Desativado Completamente"
"The CMS page with the ""%1"" ID doesn't exist.","A página do CMS cujo ID é %1 não existe."
"This identifier is reserved for ""CMS No Route Page"" in configuration.","Este identificador é reservado para ""CMS No Route Page"" na configuração."
"This identifier is reserved for ""CMS Home Page"" in configuration.","Este identificador é reservado para ""CMS No Route Page"" na configuração."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","Este identificador é reservado para ""CMS No Route Page"" na configuração."
"Content HTML contains restricted elements. %1","Conteúdo HTML contém elementos restritos. %1"
"You are not allowed to change CMS pages design settings","Você não tem permissão para alterar as configurações de design de páginas CMS"
"Invalid Custom Layout Update selected","Atualização de Layout Personalizado Inválida selecionada"
"Page ""%id"" doesn't have custom layout assigned","Página ""%id"" não tem layout personalizado atribuído"
"Custom layout update text cannot be changed, only removed","Custom layout update text cannot be changed, only removed"
"Could not save the page: %1","Não foi possível gravar a página: %1"
"Could not delete the page: %1","Não foi possível eliminar a página: %1"
"The value specified in the URL Key field would generate a URL that already exists.","O valor especificado no campo Chave de URL geraria uma URL que já existe."
"Required field ""%1"" is empty.","Campo obrigatório ""%1"" está vazio."
"Layout update is invalid","Atualização de layout é inválida"
"Custom layout update is invalid","Atualização de layout personalizada é inválida"
"A block identifier with the same properties already exists in the selected store.","Um identificador do bloco com as mesmas propriedades já existe na loja selecionada."
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","A chave URL da página não pode usar letras maiúsculas ou caracteres não permitidos. Remova as letras e caracteres e tente novamente."
"The page URL key can't use only numbers. Add letters or words and try again.","A chave URL da página não pode usar apenas números. Adicione as letras ou palavras e tente novamente."
"Please rename the folder using only Latin letters, numbers, underscores and dashes.","Por favor, renomeie a pasta usando apenas letras latinas, números, sublinhados e traços."
"We cannot create the folder under the selected directory.","We cannot create the folder under the selected directory."
"We found a directory with the same name. Please try another folder name.","Um diretório com o mesmo nome já existe. Por favor, tente outro nome de diretório."
"We cannot create a new directory.","Não foi possível criar um novo diretório."
"We cannot delete the selected directory.","We cannot delete the selected directory."
"We cannot delete directory %1.","Não é possível excluir o diretório %1."
"We can't delete the file right now.","We can't delete the file right now."
"We can't upload the file to the current folder right now. Please try another folder.","We can't upload the file to the current folder right now. Please try another folder."
"File validation failed.","Validação do arquivo falhou."
"We can't upload the file right now.","Não é possível enviar o arquivo neste momento."
"We can't delete root directory %1 right now.","Não é possível excluir o diretório raiz %1 neste momento."
"Temporarily allowed to save HTML value that contains restricted elements. %1","Temporariamente permitido para salvar valores HTML que contém elementos restritos. %1"
"Invalid HTML provided","HTML inválido fornecido"
"Privacy and Cookie Policy","Política de Privacidade e Cookies"
"NoSuchEntityException","NoSuchEntityException"
"Error message","Mensagem de erro"
"LocalizedException","ExceçãoLocalizada"
"Error","Error"
"Could not create a directory.","Não foi possível criar o diretório."
"Oh no. That isn't right.","Ah não. Isso não está certo."
"Invalid format","Formato inválido"
"Invalid html","Html inválido"
"Edit","Editar"
"Delete","Excluir"
"Delete %1","Excluir %1"
"Are you sure you want to delete a %1 record?","Você tem certeza que deseja excluir o registro %1?"
"All Store Views","Todas as Visões de Loja"
"View","Visualizar"
"px.","px."
"No files found","Nenhum arquivo encontrado"
"Upload Images","Carregar Imagens"
"Collapse All","Recolher Tudo"
"Expand All","Expandir Tudo"
"Save Page","Gravar Página"
"Edit Page Design","Editar Design da Página"
"Media Gallery","Galeria de mídia"
"Content Management","Gerenciamento de conteúdo"
"TinyMCE 5","TinyMCE 5"
"CMS Home Page","CMS homepage"
"CMS No Route Page","Página No Route CMS"
"CMS No Cookies Page","Página No Cookies CMS"
"Show Breadcrumbs for CMS Pages","Mostrar migalhas para páginas CMS"
"Browser Capabilities Detection","Detecção de Recursos do Browser"
"Redirect to CMS-page if Cookies are Disabled","Redirecionar para Página CMS se as Cookies estiverem Desativadas"
"Show Notice if JavaScript is Disabled","Mostrar Aviso se o JavaScript estiver desativado"
"Show Notice if Local Storage is Disabled","Mostrar aviso se o Armazenamento Local estiver desativado"
"Default Page Layout","Layout da Página Padrão"
"WYSIWYG Options","Opções do WYSIWYG"
"Enable WYSIWYG Editor","Habilitar o Editor WYSIWYG"
"WYSIWYG Editor","Editor WYSIWYG"
"CMS Page Link","Link da página CMS"
"Link to a CMS Page","Link para uma página CMS"
"CMS Page","Página CMS"
"Select Page...","Selecione a Página..."
"Anchor Custom Text","Texto Personalizado da Âncora"
"If empty, the Page Title will be used","Se estiver vazio, será usado o título da página"
"Anchor Custom Title","Título Personalizado da Âncora"
"Template","Modelo"
"CMS Page Link Block Template","Template de Bloco do Link da Página CMS"
"CMS Page Link Inline Template","Template Inline do Link da Página CMS"
"CMS Static Block","Bloco estático do CMS"
"Contents of a Static Block","Conteúdo de um Bloco Estático"
"Block","Bloquear"
"Select Block...","Selecione o Bloco..."
"CMS Static Block Default Template","Template Pré-definido para Blocos Estáticos CMS"
"General Information","Informações gerais"
"Enable Block","Habilite o Bloco"
"Block Title","Título do Bloco"
"Are you sure you want to delete selected items?","Você tem certeza que deseja excluir os itens selecionados?"
"Delete items","Excluir itens"
"Page Information","Informação da Página"
"Enable Page","Ativar Página"
"Content","Conteúdo"
"Content Heading","Cabeçalho do Conteúdo"
"Search Engine Optimization","Otimização para Motores de Pesquisa (Seo)"
"Meta Title","Meta título"
"Meta Keywords","Meta Palavras-chave"
"Meta Description","Meta Descrição"
"Page in Websites","Página nos Sites"
"Design","Visual"
"Layout Update XML","Atualização do Layout XML"
"Custom Layout Update","Atualização de Layout Personalizado"
"
                        List of layout files with an update handle ""selectable""
                        matching *PageIdentifier*_*UpdateID*.
                        <br/>
                        See Magento documentation for more information
                    ","
                        List of layout files with an update handle ""selectable""
                        matching *PageIdentifier*_*UpdateID*.
                        <br/>
                        See Magento documentation for more information
                    "
"Custom Design Update","Atualização de Design personalizado"
"From","De"
"To","Até"
"New Theme","Novo tema"
"-- Please Select --","-- Selecione uma opção --"
"New Layout","Novo Layout"
"Disable","Desabilitado"
"Enable","Habilitado"
"Custom design from","Design personalizado de"
"Custom design to","Design personalizado para"
"Custom Theme","Tema Personalizado"
"Custom Layout","Layout Personalizado"
"Back","Voltar"
"Backup Log Details","Detalhes de Log de backup"
"Create","Criar"
"Requested system report has no data to output.","Relatório do sistema solicitado não possui dados de saída."
"&copy; Magento Commerce Inc., %1","&copy; Magento Commerce Inc., %1"
"Are you sure you want to delete the system report?","Deseja realmente excluir este relatório do sistema?"
"Download","Fazer Download"
"Go to Top","Ir para o topo"
"Report","Relatório"
"System Report Information","Informação de relatório de sistema"
"Requested system report has no data to display.","O relatório do sistema solicitado não possui dados a serem exibidos."
"Output path %1 doesn't exist","O caminho %1 não existe"
"Unknown DB param: %1","Parâmetro de BD desconhecido: %1"
"Paths file already exists","Caminhos de arquivo já existem"
"Paths file cannot be created","Caminhos do arquivo não podem ser criados"
"An item needs to be selected. Select and try again.","An item needs to be selected. Select and try again."
"A total of %1 record(s) have been deleted.","Um total de %1 registro(s) foram excluídos."
"Support","Atendimento"
"Data Collector","Coletor de dados"
"The backup has been saved.","O backup foi salvo."
"Failed to save backup with error: %1","Falha ao salvar o backup com o erro: %1"
"An error occurred while saving backup","Ocorreu um erro ao salvar o backup"
"All processes should be completed.","All processes should be completed."
"Wrong param id","ID de parâmetro errado"
"The backup has been deleted.","O backup foi excluído."
"Cannot delete backup","Não é possível excluir backup"
"File does not exist","O arquivo não existe"
"Log Details","Detalhes do Log"
"An error occurred during mass deletion of data collector backups. Please review log and try again.","Ocorreu um erro durante a exclusão em massa de backups de coletor de dados. Por favor, revise o log e tente novamente."
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","Depois de fazer suas seleções, clique no botão ""Criar"". Então aguarde enquanto o Sistema de Relatório é gerado. Isto pode levar alguns minutos. Uma vez que essa etapa for concluída, você receberá uma notificação."
"Create System Report","Criar relatório de sistema"
"Unable to find a system report to delete.","Não é possível o relatório de sistema para excluir."
"The system report has been deleted.","O relatório de sistema foi excluído."
"An error occurred while deleting the system report. Please review log and try again.","Ocorreu um erro ao excluir o relatório de sistema. Por favor, revise o log e tente novamente."
"Requested system report no longer exists.","Relatório do sistema solicitado não existe mais."
"Unable to read system report data to display.","Não é possível ler dados de relatório do sistema para exibir."
"No groups were specified to generate system report.","Nenhum grupo foi especificado para gerar o relatório de sistema."
"The system report has been generated.","Foi gerado o relatório do sistema."
"An error occurred while the system report was being created. Please review the log and try again.","Ocorreu um erro ao excluir o relatório de sistema. Por favor, revise o log e tente novamente."
"System Reports","Relatórios do sistema"
"An error occurred during mass deletion of system reports. Please review log and try again.","Ocorreu um erro durante a exclusão em massa dos relatórios do sistema. Por favor, revise o log e tente novamente."
"The ""%1"" utility wasn't found. Verify the utility and try again.","The ""%1"" utility wasn't found. Verify the utility and try again."
"The ""%1"" utility is unknown. Verify the utility and try again.","The ""%1"" utility is unknown. Verify the utility and try again."
"File %1 is not found.","O arquivo %1 não foi encontrado."
"The root category can't be set. Verify the category and try again.","The root category can't be set. Verify the category and try again."
"Support Module doesn't support %s operation system","Módulo de Apoio não suporta o sistema de operação de %s"
"Unable to create backup due to php exec function is disabled","Não é possível criar backup devido a função php ""exec"" estar desabilitada"
"Incomplete","Incompleto"
"Complete","Finalizado"
"Failed","Falhou"
"Directory %s should have writable & readable permissions","Diretório %s deve ter permissões legíveis e graváveis"
"Windows","Janelas"
"OS X","Mac OS"
"Unknown Status","Status desconhecido"
"Processing ...","Processando..."
"(now)","(agora)"
"[%1 minutes ago]","[%1 minutos atrás]"
"[%1 hours ago]","[%1 horas atrás]"
"[%1 days ago]","[%1 dias atrás]"
"[%1 weeks ago]","[%1 semanas atrás]"
"[%1 months ago]","[%1 meses atrás]"
"[%1 years ago]","[%1 anos atrás]"
"And more...","E mais..."
"Column %1","Coluna %1"
"Preparing system report data: Detected Single Row Mode but data may be incomplete.","Preparando dados de relatório do sistema: Detectado modo de única linha, mas dados podem estar incompletos."
"Yes","Sim"
"No","Não"
"All Eav Attributes","Todos os Atributos Eav"
"Category Eav Attributes","Atributos da categoria Eav"
"Customer Address Eav Attributes","Atributos de endereço Eav do cliente"
"Customer Eav Attributes","Atributos Eav do cliente"
"Entity Types","Tipos de entidade"
"ID","Id."
"Code","Código"
"Model","Modelo"
"Attribute Model","Modelo de atributo"
"Increment Model","Modelo de incremento"
"Main Table","Tabela principal"
"Additional Attribute Table","Tabela adicional de atributo"
"New Eav Attributes","Novos atributos Eav"
"Product Eav Attributes","Atributos de produto Eav"
"Rma Item Eav Attributes","Atributos de Eav Item Rma"
"User Defined Eav Attributes","Atributos Eav definidos pelo usuário"
"Name","Nome"
"Enabled","Habilitado"
"Value","Valor"
"Scope","Escopo"
"Configuration","Configuração"
"Path","Caminho"
"Data from app/etc/env.php","Dados de app/etc/env.php"
"Title","Título"
"Group","Grupo"
"Is Gateway","É Gateway"
"Void","Anular"
"For Checkout","Para fazer check-out"
"For Multishipping","Para envio múltiplo"
"Capture Online","Capturar on-line"
"Partial Capture Online","Captura parcial online"
"Refund Online","Reembolsado on-line"
"Partial Refund Online","Reembolso parcial on-line"
"Capture Offline","Capturar off-line"
"Partial Capture Offline","Captura parcial offline"
"Refund Offline","Restituido off-line"
"Partial Refund Offline","Reembolso parcial off-line"
"Payments Functionality Matrix","Matriz de funcionalidade de pagamentos"
"Payment Methods","Forma de pagamento"
"Shipping Methods","Métodos de envio"
"Job Code","Código de tarefa"
"Cron Expression","Expressão cron"
"Run Class","Executar classe"
"Run Method","Executar método"
"Group Code","Código de grupo"
"All Configurable Cron Jobs","Todas as tarefas Cron configuráveis"
"All Global Cron Jobs","Todas as tarefas Cron globais"
"Cron Schedules List","Lista de programação Cron"
"Schedule Id","Id do Agendamento"
"Status","Situação"
"Created At","Criado em"
"Scheduled At","Agendado em"
"Executed At","Executado em"
"Finished At","Finalizado em"
"Core Configurable Cron Jobs","Tarefas centrais configuráveis via Cron"
"Core Global Cron Jobs","Tarefas principais globais via Cron"
"Cron Schedules by job code","Tarefas Cron agendáveis via código"
"Count","Contagem"
"Cron Schedules by status code","Tarefas Cron agendáveis via status"
"Status Code","Código de status"
"Custom Configurable Cron Jobs","Tarefas personalizadas configuráveis via Cron"
"Custom Global Cron Jobs","Tarefas personalizadas globais via Cron"
"Errors in Cron Schedules Queue","Erros na fila de agendamentos Cron"
"Error","Erro"
"Corrupted Categories Data","Dados de Categorias Corrompidos"
"Id","Id"
"Expected Children Count","Esperado contagem de filhos"
"Actual Children Count","Contagem atual de filhos"
"Expected Level","Nível esperado"
"Actual Level","Nível atual"
"Duplicate Categories By URL Key","Categorias duplicadas pela chave de URL"
"URL key","Chave URL"
"Store","Loja"
"Duplicate Orders By Increment Id","Pedidos duplicados por incremento de ID"
"Increment Id","Id de incremento"
"Customer Id","Id do cliente"
"Duplicate Products By SKU","Duplicar produtos pela SKU"
"SKU","Código de Produto:"
"Duplicate Products By URL Key","Duplicar produtos pela Chave de URL"
"URL Key","Chave URL"
"Website","Site"
"Duplicate Users By Email","Usuários duplicados por E-mail"
"Email","E-mail"
"Type","Tipo"
"Parent","Antecessor"
"Adminhtml Themes List","Lista de temas Adminhtml"
"Frontend Themes List","Lista de Temas Frontend"
"Event Name","Nome do Evento"
"Observer Class","Classe Observadora"
"Method","Método"
"All Admin Events","Todos os Eventos do Admin"
"All Crontab Events","Todos os Eventos de Crontab"
"All Doc Events","Eventos Todos Documentos"
"All Frontend Events","Todos os Eventos de Front End"
"All Global events","Todos os eventos Globais"
"All REST Events","Todos eventos REST"
"All SOAP Events","Todos eventos SOAP"
"Core Admin Events","Eventos principais Admin"
"Core Crontab Events","Eventos de Crontab Principais"
"Core Doc Events","Eventos de Doc Principais"
"Core Frontend Events","Eventos de Frontend Principais"
"Core Global Events","Eventos Globais Principais"
"Core REST Events","Eventos REST Principais"
"Core SOAP Events","Eventos SOAP Principais"
"Custom Admin Events","Eventos Admin Personalizados"
"Custom Crontab Events","Eventos Crontab Personalizados"
"Custom Doc Events","Eventos Doc Personalizados"
"Custom Frontend Events","Eventos Frontend Personalizados"
"Custom Global Events","Eventos Globais Personalizados"
"Custom REST Events","Eventos REST Personalizados"
"Custom SOAP Events","Eventos SOAP Personalizados"
"Log Files","Arquivo de log"
"File","Arquivo"
"Size","Tamanho"
"Log Entries","Entradas de log"
"Last Update","Última atualização"
"Today's Top Debug Messages","Top Mensagens de Debug de Hoje"
"Message","Mensagem"
"Last Occurrence","Última Ocorrência"
"Today's Top Exception Messages","Top Mensagens de Exceção de Hoje"
"Stack Trace","Stack Trace"
"Today's Top System Messages","Top Mensagens de Sistema de Hoje"
"Top Debug Messages","Principais Mensagens de Depuração"
"Top Exception Messages","Principais Mensagens de Exceção"
"Top System Messages","Principais Mensagens de Sistema"
"Store Views List","Lista de Visões de Loja"
"Stores List","Lista de lojas"
"Root Category","Categoria Principal"
"Default Store View","Frente de Loja Padrão"
"Websites List","Lista de Sites"
"Is Default","É o Padrão"
"Default Store","Loja Padrão"
"Websites Tree","Árvore de Websites"
"There was an error while loading system report data.","Houve um erro ao carregar os dados do relatório de sistema."
"General","Geral"
"Environment","Ambiente"
"Cannot save backup. The reason is: Utility lsof not found","Não é possível salvar o backup. O motivo é: o utilitário lsof não foi encontrado"
"Test error","Erro de teste"
"Error message!","Mensagem de erro!"
"User Defined","Definidos pelo usuário"
"Entity Type Code","Código do Tipo de Entidade"
"Source Model","Modelo Fonte"
"Backend Model","Modelo Backend"
"Frontend Model","Modelo Frontend"
"text","texto"
"Show Log","Mostrar Log"
"Delete","Excluir"
"Delete ""%1""","Excluir ""%1"""
"Are you sure you want to delete a ""%1"" record?","Tem certeza que deseja excluir um registro de ""%1""?"
"View","Visualizar"
"Empty log","Log vazio"
"Backup ID: ","ID de backup: "
"Collapse","Minimizar"
"Expand","Expandir"
" (no data)"," (sem Informação)"
"Top","Topo"
"No data","Sem Informação"
"Support Data Collector","Coletor de Dados de Suporte"
"Support System Report","Relatório de Sistema de Suporte"
"System Report","Relatório do Sistema"
"Data","Dados"
"Modules","Módulos"
"Logs","Registros"
"Attributes","Atributos"
"Events","Eventos"
"Cron","Cron"
"Design","Visual"
"Stores","Lojas"
"New Backup","Novo Backup"
"Refresh Status","Atualizar Status"
"Are you sure you want to delete selected item(s)?","Você tem certeza que deseja excluir o(s) item(ns) selecionado(s)?"
"Delete items","Excluir itens"
"Code Dump","Despejo de código"
"DB Dump","Despejo de BD"
"Choose Report Groups","Selecione os Grupos de Relatório"
"New Report","Novo Relatório"
"Date Generated","Data de Geração"
"Report Groups","Relatório de grupos"
"Back","Voltar"
"Save and Continue","Salvar e Continuar"
"Save Configuration","Salvar configuração"
"%1","%1"
"Default","Padrão"
"Themes","Temas"
"Save and Continue Edit","Salvar e Continuar a Editar"
"Are you sure you want to delete this theme?","Você tem certeza que deseja excluir este tema?"
"Theme: %1","Tema: %1"
"New Theme","Novo tema"
"Theme CSS","Tema CSS"
"Theme CSS Assets","Arquivos CSS do Tema"
"Custom CSS","CSS personalizado"
"Select CSS File to Upload","Selecionar Arquivo CSS para Upload"
"Upload CSS File","Upload de arquivo CSS"
"Download CSS File","Baixar arquivo CSS"
"Manage","Gerenciar"
"Upload Images","Carregar Imagens"
"Images Assets","Arquivos de Imagem"
"Upload Fonts","Carregar fontes"
"Fonts Assets","Arquivos de fontes"
"Edit custom.css","Editar custom.css"
"Allowed file types *.css.","Permitido os tipos de arquivo *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.","Esse arquivo vai substituir o arquivo custom.css atual e não pode ser maior que 2 MB."
"Max file size to upload %1M","Tamanho máximo do arquivo para upload %1M"
"Something is wrong with the file upload settings.","Algo está errado com as configurações de upload de arquivo."
"CSS Editor","Editor de CSS"
"Theme Settings","Configurações de tema"
"Parent Theme","Tema Principal"
"Theme Path","Caminho do tema"
"Theme Title","Título do tema"
"Theme Preview Image","Imagem de Pré-visualização do Tema"
"General","Geral"
"Copy of %1","Cópia de %1"
"Max image size %1M","Tamanho máx de imagem %1M"
"Theme JavaScript","Tema JavaScript"
"Select JS Files to Upload","Selecione arquivos JS para Upload"
"Upload JS Files","Upload de arquivos JS"
"JS Editor","Editor de JS"
"Allowed file types *.js.","Tipos de arquivos permitidos *.js."
"Theme","Tema"
"Media Storage","Armazenamento de Mídia"
"Create Folder","Criar pasta"
"Delete Folder","Apagar Pasta"
"Delete File","Excluir Arquivo"
"Insert File","Inserir Arquivo"
"New Folder Name:","Nome da Nova Pasta:"
"Are you sure you want to delete this folder?","Tem certeza que deseja excluir esta pasta?"
"Are you sure you want to delete this file?","Tem certeza que deseja excluir este arquivo?"
"Storage Root","Matriz de Armazenamento"
"welcome","bem-vindo(a)"
"Global","Global"
"Design Configuration","Configuração de Design"
"Page not found.","Página não encontrada."
"You saved the configuration.","Você salvou a configuração."
"Something went wrong while saving this configuration:","Problema ao gravar esta configuração:"
"We cannot find a theme with id ""%1"".","Não conseguimos localizar o tema com id ""%1""."
"You deleted the theme.","Você excluiu o tema."
"We cannot delete the theme.","Não foi possível excluir o tema."
"Theme not found: ""%1"".","Theme not found: ""%1""."
"File not found: ""%1"".","Arquivo não encontrado: ""%1""."
"We can't find file.","Não encontramos o arquivo."
"We cannot find theme ""%1"".","Não conseguimos encontrar o tema ""%1""."
"We cannot find the theme.","Não foi possível localizar o tema."
"This theme is not editable.","Este tema não é editável."
"You saved the theme.","Você salvou o tema."
"We can't upload the CSS file right now.","Não foi possível carregar o arquivo de CSS no momento."
"We can't upload the JS file right now.","Não foi possível carregar o arquivo JS no momento."
"Sorry, something went wrong. That's all we know.","Desculpe, algo deu errado. Isso é tudo que sabemos."
"Invalid type","Tipo inválido"
"The scope or scope ID is invalid. Verify both and try again.","The scope or scope ID is invalid. Verify both and try again."
"%1 does not contain field '%2'","%1 não contém o campo '%2'"
"Invalid regular expression: ""%1"".","Expressão regular inválida: ""%1""."
"%1 does not contain field 'file'","%1 não contém campo 'file'"
"The backend model isn't specified for ""%1"".","The backend model isn't specified for ""%1""."
"The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again.","The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again."
"The config can't be saved because it's empty. Complete the config and try again.","The config can't be saved because it's empty. Complete the config and try again."
"label","rótulo"
"-- Please Select --","-- Selecione uma opção --"
"The start date can't follow the end date.","A data inicial não pode ser posterior a data final."
"The date range for this design change overlaps another design change for the specified store.","O intervalo de data para esta mudança de concepção se sobrepõe a outra mudança de projeto para armazenamento especificado."
"Copy","Copiar"
"Theme id should be set","O id do tema deve ser configurado"
"Circular-reference in theme inheritance detected for ""%1""","Referência circular na herança do tema detetada para ""%1"""
"The CSS file must be less than %1M.","O arquivo CSS deve ser menor que %1M."
"The JS file must be less than %1M.","O arquivo JS deve ser menor que %1M."
"We can't upload the file right now.","Não é possível enviar o arquivo neste momento."
"Use only standard alphanumeric, dashes and underscores.","Use apenas o padrão alfanuméricos, hífens e sublinhados."
"We found a directory with the same name.","Encontramos um diretório com o mesmo nome."
"We cannot find a directory with this name.","Não conseguimos encontrar um diretório com este nome."
"We can't delete root directory %1 right now.","Não é possível excluir o diretório raiz %1 neste momento."
"Theme isn't deletable.","O tema não é removível."
"Exception message","Mensagem de exceção"
"localized exception","exceção localizada"
"Message","Mensagem"
"Test Label","Etiqueta de teste"
"Phrase","Frase"
"testMessage","Mensagem de Teste"
"Edit","Editar"
"View","Visualizar"
"thumbnail","miniatura"
"We found no files.","Não encontramos nenhum arquivo."
"Browse Files","Procurar arquivos"
"Scope:","Escopo:"
"Remove","Remover"
"Help Us Keep Magento Healthy","Nos ajude a manter saudável a Magento"
"Report All Bugs","Reportar todos os Bugs"
"Welcome, %1!","Bem-vindo, %1!"
"Toggle Nav","Alternar Nav"
"Loading...","Carregando..."
"JavaScript seems to be disabled in your browser.","O JavaScript parece estar desabilitado no seu navegador."
"For the best experience on our site, be sure to turn on Javascript in your browser.","Para ter uma melhor experiência em nosso site, certifique-se de ativar o javascript em seu navegador."
"Local Storage seems to be disabled in your browser.","O Armazenamento Local parece estar desativado no seu browser."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","Para uma melhor experiência em nosso site, certifique-se de ativar o Local Storage no seu navegador."
"This is a demo store. No orders will be fulfilled.","Esta é uma loja de demonstração. Nenhum pedido será entregue."
"Items %1 to %2 of %3 total","Itens %1 a %2 do total de %3"
"%1 Item","%1 artigo"
"%1 Item(s)","%1 Item (ns)"
"Page","Página"
"Previous","Anterior"
"Skip to page %1","Skip to page %1"
"You're currently reading page","Você esta lendo a pagina"
"Next","Próximo"
"Show","Mostrar"
"per page","por página"
"About the calendar","Sobre o calendário"
"Close","Fechar"
"Go Today","Hoje"
"WK","WK"
"Time","Tempo"
"Hour","Hora"
"Minute","Minuto"
"The store will not work correctly in the case when cookies are disabled.","A loja não funcionará corretamente no caso quando os cookies estão desativados."
"%name,","%name,"
"Welcome to %store_name.","Bem-vindo a %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Para efetuar login em nosso site, use suas credenciais durante pagamento ou na página <a href=""%customer_url"">Minha Conta</a>:"
"Email:","E-mail:"
"Password:","Senha:"
"Password you set when creating account","Senha que você definiu ao criar a conta"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Esqueceu sua senha? Clique <a href=""%reset_url""> aqui</a> para redefinir."
"When you sign in to your account, you will be able to:","Ao fazer login na sua conta, você poderá:"
"Proceed through checkout faster","Continuar com checkout rápido"
"Check the status of orders","Verificar o status dos seus pedidos"
"View past orders","Ver os pedidos que você já realizou"
"Store alternative addresses (for shipping to multiple family members and friends)","Cadastre endereços alternativos (para entregas para vários parentes ou amigos)"
"We could not detect a size.","Não foi possível detectar o tamanho."
"We don't recognize this file extension.","Nós não reconhecemos essa extensão de arquivo."
"Home","Início"
"Go to Home Page","Ir para a página inicial"
"Empty","Vazio"
"1 column","1 coluna"
"Configuration","Configuração"
"Move JS code to the bottom of the page","Mover o código JS para o final da página"
"Use CSS critical path","Use o caminho crítico CSS"
"<strong class=""colorRed"">Warning!</strong> Be sure that you have critical.css file for your theme. Other CSS files will be loaded asynchronously.","<strong class=""colorRed"">Warning!</strong> Be sure that you have critical.css file for your theme. Other CSS files will be loaded asynchronously."
"Default welcome msg!","Mensagem padrão de boas-vindas!"
"Copyright © 2013-present Magento, Inc. All rights reserved.","Copyright © 2013-presente Magento, Inc. Todos os direitos reservados."
"Design Config Grid","Grade de Configuração de Design"
"Rebuild design config grid index","Reconstruir o índice de grade de configuração de design"
"Admin empty","Admin vazio"
"Admin 1column","Admin 1coluna"
"Admin 2 columns with left bar","Admin 2 columns with left bar"
"Theme Information","Informações do tema"
"Other Settings","Outras Configurações"
"HTML Head","Cabeçalho HTML"
"Not all browsers support all these formats!","Not all browsers support all these formats!"
"Favicon Icon","Ícone Favicon"
"Default Page Title","Título Padrão da Página"
"Page Title Prefix","Prefixo do Título da Página"
"Page Title Suffix","Sufixo do título da página"
"Default Meta Description","Meta Description Padrão"
"Default Meta Keywords","Meta Keywords Padrão"
"This will be included before head closing tag in page HTML.","Este será incluído antes do fechamento da tag head na página HTML."
"Scripts and Style Sheets","Scripts e Folhas de Estilo"
"Display Demo Store Notice","Aviso de loja demo"
"Header","Cabeçalho"
"Logo Image","Imagem do logotipo"
"Logo Attribute Width","Atributo Largura do Logotipo"
"Logo Attribute Height","Atributo Altura do Logotipo"
"Welcome Text","Texto de boas vindas"
"Logo Image Alt","Alt da imagem do logotipo"
"Translate Title","Traduzir Título"
"Footer","Rodapé"
"This will be displayed just before the body closing tag.","Será exibido antes do fechamento da tag BODY."
"Miscellaneous HTML","HTML Diversos"
"Copyright","Direitos autorais"
"Display Report Bugs Link","Exibir o Link de Reportar Erros"
"Default Robots","Robôs padrão"
"Edit custom instruction of robots.txt File","Editar instruções personalizadas do arquivo robots.txt"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","Esta ação irá excluir suas instruções personalizadas e reiniciar o arquivo robots.txt para a configuração padrão do sistema."
"Reset To Defaults","Restaurar padrões"
"Website","Site"
"Store","Loja"
"Store View","Visão de Loja"
"ID","Id."
"Skip to Content","Pular para o conteúdo"
"Menu","Menu"
"Account","Conta"
"Settings","Configurações"
"2 columns with left bar","2 colunas com barra à esquerda"
"2 columns with right bar","2 colunas com barra à direita"
